#{"t_start": 1618914779.2449338, "env_id": "JSBSim-v1"}
r,l,t
2.205481,67,7.324871
-5.5046,96,12.006672
-7.050006,85,16.147619
-3.537928,72,19.660637
1.16001,120,25.50462
1.801783,98,30.180154
1.888572,67,33.516637
-4.275531,78,37.479235
-4.052806,122,43.667595
-0.536691,123,49.940941
-3.255938,88,54.37481
-3.171163,71,57.996712
-1.246475,120,64.16603
-5.652128,95,68.802085
-3.403215,63,71.978258
-2.126209,72,75.492765
-2.15825,85,79.620103
-4.827782,92,84.300808
6.410695,25,85.560752
-2.115908,89,89.944699
-8.614204,93,94.571755
-5.441147,100,99.444438
-2.733899,88,103.739753
0.1069,74,107.402185
-2.750843,113,112.848575
-1.903617,102,117.761958
-1.911794,88,122.122373
-3.739519,74,125.733202
12.644744,76,129.432873
2.275488,95,133.935561
-5.944587,89,138.195223
-6.489826,115,143.728552
-6.146724,77,147.473491
-0.650883,111,152.79792
-6.97713,104,157.732671
-0.126492,73,161.27423
-5.759082,94,165.737749
-4.303854,91,170.082862
-5.759554,114,175.565462
1.484721,123,181.544352
-4.536615,108,186.704678
-0.389044,105,191.669711
-5.209224,103,196.531229
2.315509,73,200.071144
-2.333885,102,204.91481
-0.291133,67,208.177259
-5.755895,125,214.211032
-7.412033,105,219.192917
-5.101576,103,224.046181
0.952357,111,229.324377
6.413567,15,230.055575
-1.033633,70,233.466453
-3.257742,124,239.449013
0.567121,90,243.723515
0.083673,104,248.647049
-0.670975,72,252.128822
-3.89002,128,258.344011
14.408098,17,259.206807
-6.130625,88,263.418305
-0.127652,116,268.974285
-0.881434,113,274.411781
-7.409847,123,280.366131
-0.773332,84,284.392884
-4.306482,83,288.379015
-3.017797,129,294.634239
-5.982738,88,298.844363
-2.852343,76,302.503755
11.08631,10,302.98599
14.488917,42,305.105489
-6.549284,73,308.638881
0.707535,113,314.05148
2.390934,118,319.719509
-6.519874,127,325.883662
-1.770913,73,329.424139
-2.505142,107,334.478364
0.755687,98,339.106434
0.373673,115,344.622472
-5.907908,87,348.76334
9.859492,28,350.104368
0.544554,69,353.4699
-5.538957,72,356.989399
9.896846,37,358.80011
1.353955,97,363.404719
-2.012484,92,367.795904
1.009618,79,371.618793
-5.407478,100,376.34255
-8.727118,123,382.320216
-5.463221,75,385.994804
10.419263,26,387.224842
-5.957163,112,392.564512
2.76533,107,397.665478
-2.271343,102,402.466798
1.621901,79,406.260271
-6.469144,126,412.377466
-7.611901,73,415.916517
0.056731,92,420.313439
12.10307,50,422.835887
1.538821,72,426.324253
-3.161254,81,430.233177
-4.986234,120,436.025567
0.01266,104,440.961497
-4.304755,105,445.986376
-1.786464,80,449.857304
-6.731223,125,455.916523
1.81378,120,461.714538
-2.346765,98,466.356624
-6.781979,76,470.028752
-6.067348,76,473.719003
-6.702002,113,479.14371
-4.098132,68,482.455132
-3.08729,112,487.829861
-1.483252,101,526.020339
-2.801762,148,537.402834
-4.50846,145,547.378123
-7.927913,113,555.57409
-5.748449,163,566.504691
-5.357648,116,574.827584
-8.060476,169,587.472857
-8.724164,159,598.160525
-12.104319,148,608.235657
-12.349288,132,617.446732
-6.534488,181,630.684275
-10.769104,187,644.298724
-14.684047,197,658.358755
-13.111623,175,671.279331
-5.826741,117,679.663529
-6.631985,210,694.54893
-3.770297,111,702.568532
-6.928548,183,715.954354
-5.653504,155,726.445187
-2.222662,173,739.260057
-4.193805,126,748.151121
-7.14763,144,758.030177
-9.410464,161,770.145142
-16.490781,196,784.215437
9.364866,41,786.324756
-5.905601,128,795.251852
-10.993615,167,807.744096
